EPBC_Status,FFG_Status,DSE_Advisory,Origin,Scientific,Common_Name,Count_of_Sightings,Taxon_Id
,,,*,Acridotheres tristis,Common Myna,563,10998
,,,*,Alauda arvensis,European Skylark,612,10993
,,,*,Anas platyrhynchos,Northern Mallard,1,10948
,,,*,Canis lupus familiaris,Dog,1,11836
,,,*,Capra hircus,Goat (feral),1,11521
,,,*,Carassius auratus,Goldfish,18,4711
,,,*,Carduelis chloris,European Greenfinch,470,10997
,,,*,Columba livia,Rock Dove,1,10957
,,,*,Cyprinus carpio,Carp,22,4713
,,,*,Felis catus,Cat,1,11536
,,,*,Gambusia holbrooki,Eastern Gambusia,27,4771
,,,*,Lepus europeaus,European Hare,1,11511
,,,*,Mus musculus,House Mouse,1,11412
,,,*,Oncorhynchus mykiss,Rainbow Trout,2,4676
,,,*,Oncorhynchus tshawytscha,Chinook Salmon,1,4677
,,,*,Oryctolagus cuniculus,European Rabbit,1,11510
,,,*,Passer domesticus,House Sparrow,1104,10995
,,,*,Passer montanus,Eurasian Tree Sparrow,1,10994
,,,*,Perca fluviatilis,Redfin,27,4888
,,,*,Purpureicephalus spurius,Red-capped Parrot,1,10290
,,,*,Rattus norvegicus,Brown Rat,1,11409
,,,*,Rattus rattus,Black Rat,1,11408
,,,*,Salmo trutta,Brown Trout,27,4680
,,,*,Streptopelia chinensis,Spotted Turtle-Dove,781,10989
,,,*,Sturnus vulgaris,Common Starling,1,10999
,,,*,Turdus merula,Common Blackbird,1013,10991
,,,*,Turdus philomelos,Song Thrush,1,10992
,,,*,Vulpes vulpes,Red Fox,108,528552
,L,cr,,Acrodipsas myrmecophila,Small Ant Blue,1,15007
EN,L,cr,,Anthochaera phrygia,Regent Honeyeater,1,10603
,L,cr,,Ardea intermedia,Intermediate Egret,1,10186
,L,cr,,Ardeotis australis,Australian Bustard,1,10176
CR,L,cr,,Neophema chrysogaster,Orange-bellied Parrot,1,10305
VU,L,cr,,Pedionomus torquatus,Plains-wanderer,1,10020
EN,L,cr,,Perameles gunnii,Eastern Barred Bandicoot,37,11098
VU,L,cr,,Rostratula benghalensis australis,Australian Painted Snipe,1,10170
,L,cr,,Tringa brevipes,Grey-tailed Tattler,1,10155
,L,dd,,Melanotaenia fluviatilis,Murray Rainbowfish,2,4774
,L,en,,Acrodipsas brisbanensis,Large Ant Blue,1,15006
,L,en,,Botaurus poiciloptilus,Australasian Bittern,1,10197
,L,en,,Burhinus grallarius,Bush Stone-curlew,1,10174
,L,en,,Calidris tenuirostris,Great Knot,1,10165
,L,en,,Coturnix chinensis victoriae,King Quail,1,10012
VU,L,en,,Delma impar,Striped Legless Lizard,1,12159
VU,L,en,,Diomedea exulans,Wandering Albatross,1,10086
,L,en,,Egretta garzetta nigripes,Little Egret,1,10185
,L,en,,Gelochelidon nilotica macrotarsa,Gull-billed Tern,1,10111
,L,en,,Ixobrychus minutus dubius,Little Bittern,1,10195
EN,L,en,,Lathamus discolor,Swift Parrot,1,10309
VU,L,en,,Litoria raniformis,Growling Grass Frog,162,13207
VU,L,en,,Maccullochella peelii,Murray Cod,1,4871
EN,L,en,,Macquaria australasica,Macquarie Perch,4,4874
,L,en,,Ninox connivens connivens,Barking Owl,1,10246
,L,en,,Oxyura australis,Blue-billed Duck,264,10216
,L,en,,Pezoporus wallicus wallicus,Ground Parrot,1,10311
,L,en,,Pomatostomus temporalis temporalis,Grey-crowned Babbler,1,10443
,L,en,,Pseudophryne bibronii,Brown Toadlet,128,13117
,L,en,,Sternula nereis nereis,Fairy Tern,1,10118
,L,en,,Stictonetta naevosa,Freckled Duck,110,10214
,L,en,,Tyto novaehollandiae novaehollandiae,Masked Owl,11,10250
,L,en,,Xenus cinereus,Terek Sandpiper,1,10160
,,nt,,Alcedo azurea,Azure Kingfisher,7,10319
,L,nt,,Anseranas semipalmata,Magpie Goose,1,10199
,,nt,,Calidris alba,Sanderling,1,10166
,,nt,,Calidris canutus,Red Knot,1,10164
,,nt,,Calidris melanotos,Pectoral Sandpiper,1,10978
,,nt,,Calidris subminuta,Long-toed Stint,1,10965
,,nt,,Cereopsis novaehollandiae,Cape Barren Goose,1,10198
,,nt,,Chlidonias hybridus javanicus,Whiskered Tern,1,10110
,,nt,,Chlidonias leucopterus,White-winged Black Tern,1,10109
,,nt,,Chrysococcyx osculans,Black-eared Cuckoo,23,10341
,,nt,,Cinclosoma punctatum,Spotted Quail-thrush,1,10436
,,nt,,Circus assimilis,Spotted Harrier,33,10218
,,nt,,Climacteris picumnus victoriae,Brown Treecreeper (south-eastern ssp.),1,60555
,,nt,,Coturnix ypsilophora australis,Brown Quail,1,10010
,L,nt,,Dasyornis broadbenti caryochrus,Rufous Bristlebird (Otways subsp.),1,19011
,,nt,,Gallinago hardwickii,Latham's Snipe,1,10168
,L,nt,,Geopelia cuneata,Diamond Dove,1,10031
,,nt,,Haematopus fuliginosus,Sooty Oystercatcher,1,10131
,L,nt,,Hydroprogne caspia,Caspian Tern,1,10112
EN,L,nt,,Isoodon obesulus obesulus,Southern Brown Bandicoot,1,61092
,,nt,,Larus pacificus pacificus,Pacific Gull,1,60126
VU,L,nt,,Macronectes halli,Northern Giant-Petrel,1,10937
,L,nt,,Melanodryas cucullata cucullata,Hooded Robin,1,10385
,,nt,,Melithripterus gularis gularis,Black-chinned Honeyeater,1,10580
,,nt,,Myotis macropus,Southern Myotis,1,11357
VU,L,nt,,Nannoperca obscura,Yarra Pygmy Perch,4,4882
,,nt,,Numenius madagascariensis,Eastern Curlew,1,10149
,,nt,,Nycticorax caledonicus hillii,Nankeen Night Heron,1,10192
,,nt,,Pelecanoides urinatrix,Common Diving-Petrel,1,10085
,,nt,,Phalacrocorax fuscescens,Black-faced Cormorant,1,10098
,,nt,,Phalacrocorax varius,Pied Cormorant,1,10099
,,nt,,Plegadis falcinellus,Glossy Ibis,1,10178
,,nt,,Pluvialis fulva,Pacific Golden Plover,1,10137
,,nt,,Pluvialis squatarola,Grey Plover,1,10136
,,nt,,Pseudemoia rawlinsoni,Glossy Grass Skink,1,12683
,,nt,,Sminthopsis crassicaudata,Fat-tailed Dunnart,20,11072
,,nt,,Sterna striata,White-fronted Tern,1,10114
,,nt,,Stiltia isabella,Australian Pratincole,1,10173
,,nt,,Todiramphus pyrropygia pyrropygia,Red-backed Kingfisher,2,10325
,,nt,,Turnix velox,Little Button-quail,1,10018
,L,rx,,Ambassis agassizii,Agassizs Chanda Perch,1,4864
,L,vu,,Accipiter novaehollandiae novaehollandiae,Grey Goshawk,1,10220
,,vu,,Actitis hypoleucos,Common Sandpiper,1,10157
,,vu,,Anas rhynchotis,Australasian Shoveler,1,10212
,L,vu,,Ardea modesta,Eastern Great Egret,1,10187
,,vu,,Aythya australis,Hardhead,1,10215
,,vu,,Biziura lobata,Musk Duck,1,10217
,L,vu,,Calamanthus pyrrhopygius,Chestnut-rumped Heathwren,1,10498
,,vu,,Charadrius leschenaultii,Greater Sand Plover,1,10141
,,vu,,Charadrius mongolus,Lesser Sand Plover,1,10139
,L,vu,,Chthonicola sagittatus,Speckled Warbler,1,10504
,,vu,,Engaeus fultoni,Otway Burrowing Cray,1,1674
,,vu,,Falco subniger,Black Falcon,48,10238
,L,vu,,Grantiella picta,Painted Honeyeater,1,10598
,L,vu,,Grus rubicunda,Brolga,1,10177
,L,vu,,Haliaeetus leucogaster,White-bellied Sea-Eagle,32,10226
,L,vu,,Hesperilla flavescens flavescens,Yellow Sedge-skipper,1,65005
,L,vu,,Lewinia pectoralis pectoralis,Lewin's Rail,1,10045
,L,vu,,Lophocroa leadbeateri,Major Mitchell's Cockatoo,1,10270
,L,vu,,Lophoictinia isura,Square-tailed Kite,1,10230
,,vu,,Macquaria ambigua,Golden Perch,1,4873
EN,L,vu,,Macronectes giganteus,Southern Giant-Petrel,1,10929
,,vu,,Neophema elegans,Elegant Parrot,4,10307
,L,vu,,Ninox strenua,Powerful Owl,44,10248
,,vu,,Numenius phaeopus,Whimbrel,1,10150
VU,,vu,,Pachyptila turtur,Fairy Prion,1,10083
,,vu,,Pelagodroma marina,White-faced Storm-Petrel,1,10065
,L,vu,,Phascogale tapoatafa tapoatafa,Brush-tailed Phascogale,5,11017
,,vu,,Platalea regia,Royal Spoonbill,1,10181
,L,vu,,Porzana pusilla palustris,Baillon's Crake,1,10050
VU,L,vu,,Prototroctes maraena,Australian Grayling,41,4686
VU,L,vu,,Pteropus poliocephalus,Grey-headed Flying-fox,1,11280
,,vu,,Sminthopsis murina murina,Common Dunnart,1,11061
,L,vu,,Stagonopleura guttata,Diamond Firetail,1,10652
,L,vu,,Sternula albifrons sinensis,Little Tern,1,10117
VU,L,vu,,Thalassarche cauta,Shy Albatross,1,10091
VU,L,vu,,Thalassarche chlororhynchos,Yellow-nosed Albatross,1,10089
VU,L,vu,,Thalassarche chrysostoma,Grey-headed Albatross,1,10090
VU,,vu,,Thalassarche melanophris melanophris,Black-browed Albatross,1,10088
,L,vu,,Thinornis rubricollis rubricollis,Hooded Plover,1,10138
,,vu,,Tringa glareola,Wood Sandpiper,1,10154
,L,vu,,Turnix pyrrhothorax,Red-chested Button-quail,1,10019
,,,,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,1,10640
,,,,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,1,10486
,,,,Acanthiza lineata,Striated Thornbill,1,10470
,,,,Acanthiza nana,Yellow Thornbill,1,10471
,,,,Acanthiza pusilla,Brown Thornbill,1,10475
,,,,Acanthiza reguloides,Buff-rumped Thornbill,1,10484
,,,,Acanthopagrus butcheri,Black Bream,14,4918
,,,,Acanthorhynchus tenuirostris,Eastern Spinebill,1,10591
,,,,Accipiter cirrhocephalus,Collared Sparrowhawk,62,10222
,,,,Accipiter fasciatus,Brown Goshawk,398,10221
,,,,Acritoscincus duperreyi,Eastern Three-lined Skink,1,12682
,,,,Acrobates pygmaeus,Feathertail Glider,1,11147
,,,,Acrocephalus stentoreus,Clamorous Reed Warbler,1,10524
,,,,Aegotheles cristatus,Australian Owlet-nightjar,56,10317
,,,,Afurcagobius tamarensis,Tamar River Goby,4,5018
,,,,Aldrichetta forsteri,Yellow-eye Mullet,18,4960
,,,,Alisterus scapularis,Australian King-Parrot,1,10281
,,,,Amarinus lacustris,Freshwater Spider Crab,1,1701
,,,,Ammotretis rostratus,Longsnouted Flounder,10,5071
,,,,Amphibolurus muricatus,Tree Dragon,1,12194
,,,,Anas castanea,Chestnut Teal,1039,10210
,,,,Anas clypeata,Northern Shoveler,1,10905
,,,,Anas gracilis,Grey Teal,867,10211
,,,,Anas querquedula,Garganey,1,10209
,,,,Anas spp.,Unidentified Ducks,1,9903
,,,,Anas superciliosa,Pacific Black Duck,1,10208
,,,,Anguilla australis,Short-finned Eel,74,4651
,,,,Anguilla reinhardtii,Longfinned Eel,1,4652
,,,,Anhinga novaehollandiae,Darter,1,10101
,,,,Anous stolidus,Common Noddy,1,10122
,,,,Anser anser,Domestic Goose,4,528558
,,,,Antechinus agilis,Agile Antechinus,9,11028
,,,,Anthochaera carunculata,Red Wattlebird,1,10638
,,,,Anthochaera chrysoptera,Little Wattlebird,1,10637
,,,,Anthus novaeseelandiae,Australasian Pipit,1,10647
,,,,Aphelocephala leucopsis,Southern Whiteface,1,10466
,,,,Apus pacificus,Fork-tailed Swift,34,10335
,,,,Aquila audax,Wedge-tailed Eagle,1,10224
,,,,Ardea ibis,Cattle Egret,1,10977
,,,,Ardea pacifica,White-necked Heron,1,10189
,,,,Arenaria interpres,Ruddy Turnstone,1,10129
,,,,Arenigobius bifrenatus,Bridled Goby,3,5020
,,,,Argyrosomus japonicus,Mulloway,6,4925
,,,,Arripis georgianus,Australian Herring,4,4910
,,,,Arripis trutta,Eastern Australian Salmon,8,4911
,,,,Artamus cyanopterus,Dusky Woodswallow,1,10547
,,,,Artamus personatus,Masked Woodswallow,1,10544
,,,,Artamus superciliosus,White-browed Woodswallow,1,10545
,,,,Atherinason microstoma,Smallmouthed Hardyhead,11,4782
,,,,Austrelaps superbus,Lowland Copperhead,10,12973
,,,,Barnardius zonarius zonarius,Australian Ringneck,1,60294
,,,,Cacatua galerita,Sulphur-crested Cockatoo,672,10269
,,,,Cacatua sanguinea,Little Corella,20,10271
,,,,Cacatua tenuirostris,Long-billed Corella,83,10272
,,,,Cacomantis flabelliformis,Fan-tailed Cuckoo,1,10338
,,,,Cacomantis variolosus,Brush Cuckoo,8,10339
,,,,Calamanthus fuliginosus,Striated Fieldwren,1,10500
,,,,Calidris acuminata,Sharp-tailed Sandpiper,1,10163
,,,,Calidris bairdii,Baird's Sandpiper,1,10890
,,,,Calidris ferruginea,Curlew Sandpiper,1,10161
,,,,Calidris fuscicollis,White-rumped Sandpiper,1,10849
,,,,Calidris himantopus,Stilt Sandpiper,1,10827
,,,,Calidris melanotus X ferruginea,Cox's Sandpiper,1,60822
,,,,Calidris minuta,Little Stint,1,10857
,,,,Calidris ruficollis,Red-necked Stint,1,10162
,,,,Callocephalon fimbriatum,Gang-gang Cockatoo,1,10268
,,,,Calyptorhynchus funereus,Yellow-tailed Black-Cockatoo,126,10267
,,,,Carduelis carduelis,European Goldfinch,1,528559
,,,,Chalinolobus gouldii,Gould's Wattled Bat,1,11349
,,,,Chalinolobus morio,Chocolate Wattled Bat,1,11351
,,,,Charadrius bicinctus,Double-banded Plover,1,10140
,,,,Charadrius dubius,Little Ringed Plover,1,10851
,,,,Charadrius hiaticula,Ringed Plover,1,10895
,,,,Charadrius ruficapillus,Red-capped Plover,1,10143
,,,,Charadrius veredus,Oriental Plover,1,10142
,,,,Chelodina longicollis,Common Long-necked Turtle,1,5134
,,,,Chenonetta jubata,Australian Wood Duck,1,10202
,,,,Cheramoeca leucosternus,White-backed Swallow,1,10358
,,,,Cherax destructor destructor,Common Yabby,1,1608
,,,,Christinus marmoratus,Marbled Gecko,1,12126
,,,,Chroicocephalus novaehollandiae,Silver Gull,1,10125
,,,,Chrysococcyx basalis,Horsfield's Bronze-Cuckoo,1,10342
,,,,Chrysococcyx lucidus,Shining Bronze-Cuckoo,242,10344
,,,,Cincloramphus cruralis,Brown Songlark,1,10508
,,,,Cincloramphus mathewsi,Rufous Songlark,1,10509
,,,,Circus approximans,Swamp Harrier,494,10219
,,,,Cisticola exilis,Golden-headed Cisticola,1,10525
,,,,Cladorhynchus leucocephalus,Banded Stilt,1,10147
,,,,Colluricincla harmonica,Grey Shrike-thrush,1,10408
,,,,Columba leucomela,White-headed Pigeon,1,10028
,,,,Coracina novaehollandiae,Black-faced Cuckoo-shrike,1,10424
,,,,Coracina papuensis,White-bellied Cuckoo-shrike,1,10425
,,,,Coracina tenuirostris,Common Cicadabird,1,10429
,,,,Corcorax melanorhamphos,White-winged Chough,1,10693
,,,,Cormobates leucophaeus,White-throated Treecreeper,1,10558
,,,,Corvus coronoides,Australian Raven,1,10930
,,,,Corvus mellori,Little Raven,1,10954
,,,,Corvus tasmanicus,Forest Raven,1,10868
,,,,Coturnix pectoralis,Stubble Quail,1,10009
,,,,Cracticus nigrogularis,Pied Butcherbird,1,10700
,,,,Cracticus torquatus,Grey Butcherbird,1,10702
,,,,Crinia signifera,Common Froglet,1,13134
,,,,Ctenotus robustus,Large Striped Skink,1,12375
,,,,Cuculus pallidus,Pallid Cuckoo,162,10337
,,,,Cygnus atratus,Black Swan,1,10203
,,,,Dacelo novaeguineae,Laughing Kookaburra,1,10322
,,,,Daphoenositta chrysoptera,Varied Sittella,1,10549
,,,,Daption capense,Cape Petrel,1,10080
,,,,Delphinus delphis,Common Dolphin,1,11616
